sepal length,sepal width,petal length,petal width,label
7.0,3.2,4.7,1.4,0
6.4,3.2,4.5,1.5,0
6.9,3.1,4.9,1.5,0
5.5,2.3,4.0,1.3,0
6.5,2.8,4.6,1.5,0
5.7,2.8,4.5,1.3,0
6.3,3.3,4.7,1.6,0
4.9,2.4,3.3,1.0,0
6.6,2.9,4.6,1.3,0
5.2,2.7,3.9,1.4,0
5.0,2.0,3.5,1.0,0
5.9,3.0,4.2,1.5,0
6.0,2.2,4.0,1.0,0
6.1,2.9,4.7,1.4,0
5.6,2.9,3.6,1.3,0
6.7,3.1,4.4,1.4,0
5.6,3.0,4.5,1.5,0
5.8,2.7,4.1,1.0,0
6.2,2.2,4.5,1.5,0
5.6,2.5,3.9,1.1,0
5.9,3.2,4.8,1.8,0
6.1,2.8,4.0,1.3,0
6.3,2.5,4.9,1.5,0
6.1,2.8,4.7,1.2,0
6.4,2.9,4.3,1.3,0
6.6,3.0,4.4,1.4,0
6.8,2.8,4.8,1.4,0
6.7,3.0,5.0,1.7,0
6.0,2.9,4.5,1.5,0
5.7,2.6,3.5,1.0,0
5.5,2.4,3.8,1.1,0
5.5,2.4,3.7,1.0,0
5.8,2.7,3.9,1.2,0
6.0,2.7,5.1,1.6,0
5.4,3.0,4.5,1.5,0
6.0,3.4,4.5,1.6,0
6.7,3.1,4.7,1.5,0
6.3,2.3,4.4,1.3,0
5.6,3.0,4.1,1.3,0
5.5,2.5,4.0,1.3,0
5.5,2.6,4.4,1.2,0
6.1,3.0,4.6,1.4,0
5.8,2.6,4.0,1.2,0
5.0,2.3,3.3,1.0,0
5.6,2.7,4.2,1.3,0
5.7,3.0,4.2,1.2,0
5.7,2.9,4.2,1.3,0
6.2,2.9,4.3,1.3,0
5.1,2.5,3.0,1.1,0
5.7,2.8,4.1,1.3,0
6.3,3.3,6.0,2.5,1
5.8,2.7,5.1,1.9,1
7.1,3.0,5.9,2.1,1
6.3,2.9,5.6,1.8,1
6.5,3.0,5.8,2.2,1
7.6,3.0,6.6,2.1,1
4.9,2.5,4.5,1.7,1
7.3,2.9,6.3,1.8,1
6.7,2.5,5.8,1.8,1
7.2,3.6,6.1,2.5,1
6.5,3.2,5.1,2.0,1
6.4,2.7,5.3,1.9,1
6.8,3.0,5.5,2.1,1
5.7,2.5,5.0,2.0,1
5.8,2.8,5.1,2.4,1
6.4,3.2,5.3,2.3,1
6.5,3.0,5.5,1.8,1
7.7,3.8,6.7,2.2,1
7.7,2.6,6.9,2.3,1
6.0,2.2,5.0,1.5,1
6.9,3.2,5.7,2.3,1
5.6,2.8,4.9,2.0,1
7.7,2.8,6.7,2.0,1
6.3,2.7,4.9,1.8,1
6.7,3.3,5.7,2.1,1
7.2,3.2,6.0,1.8,1
6.2,2.8,4.8,1.8,1
6.1,3.0,4.9,1.8,1
6.4,2.8,5.6,2.1,1
7.2,3.0,5.8,1.6,1
7.4,2.8,6.1,1.9,1
7.9,3.8,6.4,2.0,1
6.4,2.8,5.6,2.2,1
6.3,2.8,5.1,1.5,1
6.1,2.6,5.6,1.4,1
7.7,3.0,6.1,2.3,1
6.3,3.4,5.6,2.4,1
6.4,3.1,5.5,1.8,1
6.0,3.0,4.8,1.8,1
6.9,3.1,5.4,2.1,1
6.7,3.1,5.6,2.4,1
6.9,3.1,5.1,2.3,1
5.8,2.7,5.1,1.9,1
6.8,3.2,5.9,2.3,1
6.7,3.3,5.7,2.5,1
6.7,3.0,5.2,2.3,1
6.3,2.5,5.0,1.9,1
6.5,3.0,5.2,2.0,1
6.2,3.4,5.4,2.3,1
5.9,3.0,5.1,1.8,1
7.028569295455671,3.1906604622347765,4.7143652694877165,1.3348642497614864,0
6.515871863431614,3.1650774038349176,4.502902881958652,1.6278601453968455,0
6.843224070738894,3.1969899033137454,5.00872293946778,1.5002869816131847,0
5.532688952634769,2.4388376081621517,4.013557765954629,1.2286645871159205,0
6.554472807606625,2.5938680000471144,4.529307101996134,1.4726534688959507,0
5.706046012407452,2.788682190936545,4.521683685315882,1.2361076828300965,0
6.269890295364017,3.3852141189497607,4.673962958546696,1.7042499675233311,0
4.828738736799892,2.2717964966799165,3.2538210008832054,1.0812334893868158,0
6.516590923954864,2.94180416212821,4.692105640122703,1.1564763349454885,0
5.27761443797965,2.5914740914178074,3.941984932580491,1.438933647280386,0
4.935840405191102,1.8667980740614658,3.511342340880312,0.9893144085959683,0
5.8648433025182545,3.065645169684113,4.200006076828603,1.4885876458484666,0
